Store Name,Store Address,Postal Code,Locality,Region,Contact,Opens At,Closes At,Lat-Long
Spencer's Neighborhood Store,"Spencer Retail Limited,12/85,Club House Road",620 101,Kodaikanal,Tamil Nadu,"241246, 242750",7:30 AM,21:30 PM,"{'lat': 10.238102, 'lng': 77.489168}"
Spencer's Hyper Store,"Spencer Retail Limited,Bellary Road - D. No. 51/937, Opp. New RTC Bus Stand, Bellary Road",518001,Kurnool,Andhra Pradesh,08518 - 256045,9:30 AM,22:00 PM,"{'lat': 15.139416, 'lng': 76.92142}"
Spencer's Hyper Store,"Spencer Retail Limited,D.No:- 69-4-21 , Pitapuram road, sarpavaram jn",533005,Kakinada,Andhra Pradesh,0844 - 6456688,9:30 AM,22:00 PM,"{'lat': 17.075633, 'lng': 82.277821}"
Spencer's Hyper Store,"Spencer Retail Limited,Chinna Chowk D No. 42/347-1-2, Opp. RTC Bus Stand",516002,Kadapa,Andhra Pradesh,9247000206,9:30 AM,22:00 PM,"{'lat': 14.475417, 'lng': 78.820619}"
Spencer's Hyper Store,"Spencer Retail Limited,Basement, Pentagon Mall, Plot no ? C1, SIDCUL, Sector-12,",,Haridwar,Uttaranchal,01334 232336,11:00 AM,21:30 PM,"{'lat': 29.947877, 'lng': 78.075473}"
Spencer's Neighborhood Store,"Spencer Retail Limited, Shop No : 2-4, Sector ? 15, Jharsa Road",122001,Gurgaon,Haryana,0124-4363254,10:00 AM,21:30 PM,"{'lat': 28.454575, 'lng': 77.039989}"
Spencer's Neighborhood Store,"Spencer Retail Limited,Sector - 4 & 7 Crossing, Jai Cinema Complex, Old Railway Road",122001,Gurgaon,Haryana,0124-6454725,10:00 AM,22:00 PM,"{'lat': 28.471078, 'lng': 77.011201}"
Spencer's Neighborhood Store,"Spencer Retail Limited,Sector - 07, Dharuhera , Rewari District,",,Gurgaon,Haryana,,10:00 AM,21:30 PM,"{'lat': 28.205654, 'lng': 76.79148}"
Spencer's Neighborhood Store,"Spencer Retail Limited,SCF-78 Sec-14 main Market",,Gurgaon,Haryana,0124-6454284,10:00 AM,21:30 PM,"{'lat': 28.473523, 'lng': 77.047729}"
Spencer's Hyper Store,"Spencer Retail Limited,MGF Megacity Mall",,Gurgaon,Haryana,0124 - 4375331,10:00 AM,22:00 PM,"{'lat': 28.479734, 'lng': 77.08955}"
Spencer's Hyper Store,"Spencer Retail Limited,Door no 3-28-20/21, Brindhavan Gardens, 3rd line, beside syndicate Bank",.,Guntur,Andhra Pradesh,8632219511,8:00 AM,22:00 PM,"{'lat': 16.314054, 'lng': 80.41989}"
Spencer's Hyper Store,"Spencer Retail Limited,Park Road City Mall, 6 Civilines, Park Road, Golghar",273001,Gorakhpur,Uttar Pradesh,0551 6451103 / 3919701,11:00 AM,10:00 PM,"{'lat': 26.753556, 'lng': 83.375228}"
Spencer's Neighborhood Store,"Spencer Retail Limited,Jaipuria Mall, Indirapuram",,Ghaziabad,Uttar Pradesh,0120-4336042,10:00 AM,21:30 PM,"{'lat': 28.64069, 'lng': 77.3781}"
Spencer's Hyper Store,"Spencer Retail Limited,Pacific Mall, Upper Basement, Plot-1,Site -IV, Sahibabad Ind. Area",,Ghaziabad,Uttar Pradesh,0120 - 4373949,10:30 AM,22:00 PM,"{'lat': 28.649693, 'lng': 77.366202}"
Spencer's Neighborhood Store,"Spencer Retail Limited, Plot NO- A1/13, Sector - IIA, S.S Banerjee Road, Opposite to STPI, BidhanNagar",713212,Durgapur,West Bengal,0343 - 6456640,8:30 AM,21:30 PM,"{'lat': 23.583216, 'lng': 87.276604}"
Spencer's Hyper Store,"Spencer Retail Limited, Centre Point Mall, Innovative Infraprojects Ltd, Bank More",826001,Dhanbad,West Bengal,3266050005,10:30 AM,21:30 PM,"{'lat': 23.787945, 'lng': 86.417639}"
Spencer's Neighborhood Store,"Spencer Retail Limited,No 4/11,22nd st 3rdmain road",600061,Chennai,Tamil Nadu,"30181175, 30181176",7:30 AM,21:30 PM,"{'lat': 37.404567, 'lng': -86.875554}"
Spencer's Neighborhood Store,"Spencer Retail Limited,No.13, Rajendraprasad Road, Nehru Nagar, Chrompet",600044,Chennai,Tamil Nadu,"30181245, 30181246",7:30 AM,21:30 PM,"{'lat': 12.942141, 'lng': 80.142445}"
Spencer's Neighborhood Store,"Spencer Retail Limited,No. PC-3, Collector Nagar Main Road, Mogappair East",600050,Chennai,Tamil Nadu,"30181320, 30181321",7:30 AM,21:30 PM,"{'lat': 13.086528, 'lng': 80.196201}"
Spencer's Neighborhood Store,"Spencer Retail Limited,HIG 39, NH 1, Vallal M.G.R Salai, Maraimalai Nagar, Kanchipuram Dist.",,Chennai,Tamil Nadu,"30181085, 30181301",7:30 AM,21:30 PM,"{'lat': 12.979763, 'lng': 80.241888}"
